,name,id,smiles,formula
0,(+)-nanm,None,C[C@@H]1[C@@H]2CC3=C([C@]1(CCN2CC=C)C)C=C(C=C3)O,None
1,(-)-nanm,None,C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C)C)C=C(C=C3)O,None
2,(-)-erythro-fluorocitrate,None,None,None
3,(2-adamantyl)hexamethylenimine,None,None,None
4,"1,3-difluoro-2-propanol",None,C(C(CF)O)F,None
5,"1,3-difluoroacetone",None,C(C(=O)CF)F,None
6,1-aminobenzotriazole,None,C1=CC=C2C(=C1)N=NN2N,None
7,"1-methyl-4-phenyl-1,2,3,4-tetrahydropyridine",None,CN1CCC(C=C1)C2=CC=CC=C2,None
8,"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",None,CN1CCC(=CC1)C2=CC=CC=C2,None
9,"1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine",None,CN1CCC(=CC1)C2=CC=CC=C2,None
10,14- hydroxy- clarithromycin,None,None,None
11,"16,16-dimethylprostaglandin e2",None,CCCCC(C)(C)[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,None
12,18-mc,None,COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,None
13,18-methoxycoronaridine,DB15096,COCC[C@H]1C[C@@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,C22H28N2O3
14,25-o-desacetyl metabolites,None,None,None
15,25-o-desacetylrifabutin,None,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)O)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)/C,None
16,3-deazaneplanocin a,None,C1=CN=C(C2=C1N(C=N2)[C@@H]3C=C([C@H]([C@H]3O)O)CO)N,None
17,3-hydroxydesloratadine,None,C1CC2=C(C(=C3CCNCC3)C4=C1C=C(C=C4)Cl)N=CC(=C2)O,None
18,"3-[(2-methyl-1,3-thiazol-4-yl) ethynyl] pyridine",None,None,None
19,3-hydroxy levobupivacaine,None,None,None
20,3h-spiroperidol,None,None,None
21,4-hydroxy-estazolam,None,C1=CC=C(C=C1)C2=NC(C3=NN=CN3C4=C2C=C(C=C4)Cl)O,None
22,4-hydroxyatomoxetine,None,CC1=C(C=CC(=C1)O)O[C@H](CCNC)C2=CC=CC=C2,None
23,4-hydroxytamoxifen,DB04468,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,C26H29NO2
24,4-hydroxytolbutamide,None,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)CO,None
25,5-dfcr,None,None,None
26,5-dfur,None,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,None
27,5-fu,DB00544,C1=C(C(=O)NC(=O)N1)F,C4H3FN2O2
28,5-oxo-desethylzaleplon,None,None,None
29,5-oxo-desethylzaleplon glucuronide,None,None,None
30,6-beta-naltrexol,None,C1CC1CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O,None
31,6-deoxy penciclovir,None,C1=C2C(=NC(=N1)N)N(C=N2)CCC(CO)CO,None
32,6mna,None,COC1=CC2=C(C=C1)C=C(C=C2)CC(=O)O,None
33,"8-cyclopentyl-1,3-dipropylxanthine",DB12946,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,C16H24N4O2
34,8-phenyltheophylline,None,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=CC=C3,None
35,aav2,None,None,None
